team_name,team_slug,player_name,player_url,player_image_thumb,jersey_number,position,roster_category,player_category,player_image,full_name,team_logo,club_slug,jersey_number_profile,profile_name,profile_height,profile_weight,profile_date_of_birth,profile_birthplace,profile_position,profile_footedness,profile_roster_category,profile_player_category,profile_pronunciation,profile_national_team,profile_player_status
Atlanta United,atlanta-united,M. Almirón,https://www.mlssoccer.com/players/miguel-almiron,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/ny72qpibshxhotccwu4x",Midfielder,Senior,Designated Player,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/ny72qpibshxhotccwu4x.png,Miguel Almiron,https://images.mlssoccer.com/image/upload/t_q-best/v1747499879/assets/logos/mls-clubs/Club_Logo-Atlanta_jtk7ku.png,atlanta-united,10,Miguel  Almirón,"5' 9""",154 lbs,2.10.1994 (32),"Asunción,
             Paraguay",Midfielder,Left,Senior,Designated Player,,,
Atlanta United,atlanta-united,S. Alzate,https://www.mlssoccer.com/players/steven-alzate,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/zbprrrfelhqmavdq8tfe",Midfielder,Senior,International,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/zbprrrfelhqmavdq8tfe.png,Steven Alzate,https://images.mlssoccer.com/image/upload/t_q-best/v1747499879/assets/logos/mls-clubs/Club_Logo-Atlanta_jtk7ku.png,atlanta-united,7,Steven  Alzate,"5' 11""",165 lbs,9.8.1998 (27),"London,
             England",Midfielder,Right,Senior,International,,,
Atlanta United,atlanta-united,P. Amador,https://www.mlssoccer.com/players/pedro-amador,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/gm9tzolfnz3gvczcqxmy",Defender,Senior,,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/gm9tzolfnz3gvczcqxmy.png,Pedro Amador,https://images.mlssoccer.com/image/upload/t_q-best/v1747499879/assets/logos/mls-clubs/Club_Logo-Atlanta_jtk7ku.png,atlanta-united,18,Pedro  Amador,"5' 11""",,12.18.1998 (27),"Loures,
             Portugal",Defender,,Senior,,,,
Atlanta United,atlanta-united,J. Berrocal,https://www.mlssoccer.com/players/juan-berrocal,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/d6ar0jpghgxqmf2xeewp",Defender,Senior,International,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/d6ar0jpghgxqmf2xeewp.png,Juan Berrocal,https://images.mlssoccer.com/image/upload/t_q-best/v1747499879/assets/logos/mls-clubs/Club_Logo-Atlanta_jtk7ku.png,atlanta-united,6,Juan  Berrocal,"6' 0""",159 lbs,2.5.1999 (27),"Jerez de la Frontera,
             Spain",Defender,Right,Senior,International,,,
Atlanta United,atlanta-united,L. Brennan,https://www.mlssoccer.com/players/luke-brennan,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/vcikksfe6r1di3sbecur",Forward,Supplemental Slots 21-24,Homegrown,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/vcikksfe6r1di3sbecur.png,Luke Brennan,https://images.mlssoccer.com/image/upload/t_q-best/v1747499879/assets/logos/mls-clubs/Club_Logo-Atlanta_jtk7ku.png,atlanta-united,20,Luke  Brennan,"5' 11""",150 lbs,2.24.2005 (21),"Atlanta, GA,
             USA",Forward,,Supplemental Slots 21-24,Homegrown,,,
Atlanta United,atlanta-united,E. Báez,https://www.mlssoccer.com/players/elias-baez,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/ogyvisxpungwbz5w5idy",Defender,Senior,"U22 Initiative, International",,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/ogyvisxpungwbz5w5idy.png,Elías Báez,https://images.mlssoccer.com/image/upload/t_q-best/v1747499879/assets/logos/mls-clubs/Club_Logo-Atlanta_jtk7ku.png,atlanta-united,3,Elías  Báez,,,10.18.2004 (21),"Rafael Castillo,
             Argentina",Defender,,Senior,"U22 Initiative, International",,,
Atlanta United,atlanta-united,M. Edwards,https://www.mlssoccer.com/players/matthew-edwards,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/yfg2kp1qhjwdvru2fg2s",Defender,Supplemental Slots 21-24,Homegrown,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/yfg2kp1qhjwdvru2fg2s.png,Matthew Edwards,,,47,Matthew  Edwards,"5' 10""",,2.17.2003 (23),"Apex, NC,
             USA",Defender,,Supplemental Slots 21-24,Homegrown,,,
Atlanta United,atlanta-united,J. Fortune,https://www.mlssoccer.com/players/ajani-fortune,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/ak4fhodao1m2ecgymkdj",Midfielder,Supplemental Slots 21-24,Homegrown,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/ak4fhodao1m2ecgymkdj.png,Jay Fortune,https://images.mlssoccer.com/image/upload/t_q-best/v1747499879/assets/logos/mls-clubs/Club_Logo-Atlanta_jtk7ku.png,atlanta-united,35,Jay  Fortune,"5' 9""",165 lbs,12.30.2002 (23),"Raleigh, NC,
             USA",Midfielder,Right,Supplemental Slots 21-24,Homegrown,A-jah-nee Fortune,,
Atlanta United,atlanta-united,M. Galarza,https://www.mlssoccer.com/players/matias-galarza,/assets/images/Fallback-Headshot.png,Midfielder,Senior,,,/assets/images/Fallback-Headshot.png,player,https://images.mlssoccer.com/image/upload/t_q-best/v1747499879/assets/logos/mls-clubs/Club_Logo-Atlanta_jtk7ku.png,atlanta-united,88,Matías  Galarza,"5' 9""",,2.11.2002 (24),"Asunción,
             Paraguay",Midfielder,,Senior,,,,
Atlanta United,atlanta-united,A. Gill,https://www.mlssoccer.com/players/adrian-gill,"https://images.mlssoccer.com/image/private/w_60,c_scale/f_auto/mls/ghpuzolybstqdcfzvuqy",Midfielder,Supplemental Slots 25-28,,,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/mls/ghpuzolybstqdcfzvuqy.png,Adrian Gill,https://images.mlssoccer.com/image/upload/t_q-best/v1747499879/assets/logos/mls-clubs/Club_Logo-Atlanta_jtk7ku.png,atlanta-united,16,Adrian  Gill,,,1.3.2006 (20),"Denver, CO,
             USA",Midfielder,,Supplemental Slots 25-28,,,,
